resolution,emotions,people,tries,time
1,14,27,2,5.403744
1,14,28,2,5.7483285
1,14,29,2,6.2193507
1,14,3,2,1.0788014
1,14,30,2,6.2935008
1,14,31,2,6.4254463
1,14,32,2,6.3626064
1,14,33,2,6.9318884
1,14,34,2,7.0325314
1,14,35,2,7.2489909
1,14,36,2,7.1836589
1,14,37,2,7.6085606
1,14,38,2,7.8030003
1,14,39,2,8.0158895
1,14,4,2,1.7383161
1,14,40,2,7.8599081
1,14,41,2,12.2887045
1,14,42,2,12.3394367
1,14,43,2,10.1117846
1,14,44,2,8.9695416
1,14,45,2,9.6825732
1,14,46,2,9.7022079
1,14,47,2,9.6068213
1,14,48,2,10.0157175
1,14,49,2,10.1470921
1,14,5,2,2.2401035
1,14,50,2,10.1548261
1,14,51,2,10.5722323
1,14,52,2,10.8832376
1,14,53,2,10.8385828
1,14,54,2,11.0179979
1,14,55,2,11.1901691
1,14,56,2,11.461642
1,14,57,2,11.6057554
1,14,58,2,11.6891086
1,14,59,2,11.9797351
1,14,6,2,2.5757569
1,14,60,2,12.286402
1,14,61,2,23.1212517
1,14,62,2,16.1849514
1,14,63,2,13.9390189
1,14,64,2,14.2436597
1,14,65,2,13.8611821
1,14,66,2,13.8171263
1,14,67,2,13.8714824
1,14,68,2,14.2933038
1,14,69,2,14.2809109
1,14,7,2,2.3704865
1,14,70,2,14.4494522
1,14,71,2,21.1663286
1,14,72,2,17.2206485
1,14,73,2,14.7884633
1,14,74,2,15.4475785
1,14,75,2,15.4231033
1,14,76,2,15.783497
1,14,77,2,15.9163216
1,14,78,2,16.2932437
1,14,79,2,16.0478788
1,14,8,2,2.6968394
1,14,80,2,16.3681445
1,14,9,2,2.4737834
1,2,10,10,0.7712311
1,2,2,25,0.8393224
1,2,3,25,0.6386946
1,2,4,22,0.7240547
1,2,5,22,0.8833869
1,2,6,10,0.4903883
1,2,7,10,0.5266418
1,2,8,10,0.6228344
1,2,9,10,0.6773758
1,3,10,10,1.5283114
1,3,2,25,1.2719621
1,3,3,25,1.2593742
1,3,4,22,1.4378819
1,3,5,22,1.7143514
1,3,6,10,0.963574
1,3,7,10,1.0720748
1,3,8,10,1.2040502
1,3,9,10,1.3545338
1,4,10,10,2.2431584
1,4,2,30,2.0459347
1,4,3,30,2.2254479
1,4,4,30,2.9991879
1,4,5,30,3.505882
1,4,6,10,1.4671093
1,4,7,10,1.5843954
1,4,8,10,1.7984134
1,4,9,10,2.0092137
1,5,10,30,8.9037677
1,5,11,30,9.7793368
1,5,12,30,12.850292
1,5,13,30,12.7250451
1,5,14,30,22.763243
1,5,15,30,14.8892641
1,5,2,30,5.6249794
1,5,3,30,3.136398
1,5,4,30,4.0111827
1,5,5,30,5.2609154
1,5,6,30,6.8620993
1,5,7,30,6.2542821
1,5,8,30,7.5656351
1,5,9,30,8.093711
1,6,10,30,12.1285032
1,6,11,30,12.9330615
1,6,12,30,13.6409495
1,6,13,30,15.3740551
1,6,14,30,17.3802819
1,6,15,30,19.2915048
1,6,16,30,20.0772676
1,6,17,30,21.7129827
1,6,2,30,10.036907
1,6,3,30,4.8851053
1,6,4,30,5.0550311
1,6,5,30,6.0385111
1,6,6,30,7.441082
1,6,7,30,8.3238623
1,6,8,30,8.8989146
1,6,9,30,11.0594382
1,7,10,30,13.4011823
1,7,11,30,15.0800056
1,7,12,30,17.4513524
1,7,13,30,18.7136226
1,7,14,30,18.779074
1,7,15,30,22.602327
1,7,16,30,24.4364614
1,7,17,30,27.2078407
1,7,18,30,28.1337335
1,7,19,30,29.1691213
1,7,2,30,4.5393456
1,7,3,30,5.7602329
1,7,4,30,6.4769046
1,7,5,30,8.2387507
1,7,6,30,8.0987988
1,7,7,30,9.3736285
1,7,8,30,10.7409707
1,7,9,30,13.1472935
1,8,10,30,15.4665689
1,8,11,30,17.0771228
1,8,12,30,28.2374271
1,8,13,30,22.1657102
1,8,14,30,24.259191
1,8,15,30,25.8580816
1,8,16,30,27.5000589
1,8,17,30,29.9267791
1,8,18,30,33.1557391
1,8,19,30,36.4867106
1,8,2,30,3.63952
1,8,20,30,34.6740686
1,8,21,30,36.9523345
1,8,22,30,41.1083021
1,8,23,30,41.4718248
1,8,24,30,40.9916125
1,8,25,30,43.7100216
1,8,26,30,45.2815356
1,8,27,30,67.3408084
1,8,28,30,46.1054219
1,8,29,30,49.0640386
1,8,3,30,5.5471502
1,8,30,30,49.4277125
1,8,31,26,48.3464578
1,8,4,30,7.8915535
1,8,5,30,8.930312
1,8,6,30,11.6228547
1,8,7,30,11.670803
1,8,8,30,13.0761265
1,8,9,30,15.2677173
1,9,10,30,18.1065687
1,9,11,30,20.9203709
1,9,12,30,23.9527754
1,9,13,30,26.4640116
1,9,14,30,27.6948372
1,9,15,30,28.0886417
1,9,16,30,39.55449
1,9,17,30,32.4982871
1,9,18,30,40.6628236
1,9,19,30,37.7909344
1,9,2,30,4.0546039
1,9,20,30,40.0761072
1,9,21,30,40.3195545
1,9,22,30,42.2787557
1,9,23,30,47.3266462
1,9,24,30,44.9058556
1,9,25,30,47.4003597
1,9,26,30,51.3591385
1,9,27,30,54.966396
1,9,28,30,54.3560873
1,9,29,30,53.1204882
1,9,3,30,5.8129778
1,9,30,30,58.6903708
1,9,31,26,55.971686
1,9,32,26,56.5501017
1,9,33,26,55.0975324
1,9,34,26,53.6445598
1,9,35,26,58.3652684
1,9,36,26,72.8438244
1,9,37,26,62.7684902
1,9,4,30,8.0331155
1,9,5,30,9.8633977
1,9,6,30,11.5664488
1,9,7,30,12.6879944
1,9,8,30,14.8440309
1,9,9,30,16.290914
10,10,10,20,76.7661804
10,10,11,6,28.430887
10,10,12,6,29.8165715
10,10,13,6,36.3826626
10,10,14,6,39.4808807
10,10,15,6,46.7722559
10,10,16,6,49.7654922
10,10,17,6,48.4891173
10,10,18,6,54.146753
10,10,19,6,56.961255
10,10,2,8,6.0902962
10,10,20,6,60.8336309
10,10,21,6,76.6420747
10,10,22,6,73.9184105
10,10,23,6,80.0314084
10,10,24,6,87.2994079
10,10,25,6,91.080824
10,10,26,4,65.1543348
10,10,27,4,67.6434918
10,10,28,4,69.5911365
10,10,29,4,81.5827339
10,10,3,8,10.7862166
10,10,30,4,79.1333997
