resolution,emotions,people,tries,time
13,14,17,2,67.6691631
13,14,18,2,75.2531888
13,14,19,2,83.9439122
13,14,2,2,7.9009636
13,14,20,2,92.2933602
13,14,21,2,1511.938572
13,14,22,2,2417.0914176
13,14,3,2,9.8629076
13,14,4,2,12.1612222
13,14,5,2,15.2065071
13,14,6,2,18.5594964
13,14,7,2,21.8403821
13,14,8,2,25.2282247
13,14,9,2,29.2846308
1,14,10,2,2.9522245
1,14,11,2,2.2834419
1,14,12,2,3.5960485
1,14,13,2,4.4276563
1,14,14,2,4.9156363
1,14,15,2,5.2833954
1,14,16,2,5.8172249
1,14,17,2,6.261761
1,14,18,2,5.3871721
1,14,19,2,6.3521507
1,14,2,2,0.7553418
1,14,20,2,7.6239863
1,14,21,2,8.5158515
1,14,22,2,8.033648
1,14,23,2,7.6946911
1,14,24,2,6.4829153
1,14,25,2,5.5911302
1,14,26,2,5.5367164
1,14,27,2,5.403744
1,14,28,2,5.7483285
1,14,29,2,6.2193507
1,14,3,2,1.0788014
1,14,30,2,6.2935008
1,14,31,2,6.4254463
1,14,32,2,6.3626064
1,14,33,2,6.9318884
1,14,34,2,7.0325314
1,14,35,2,7.2489909
1,14,36,2,7.1836589
1,14,37,2,7.6085606
1,14,38,2,7.8030003
1,14,39,2,8.0158895
1,14,4,2,1.7383161
1,14,40,2,7.8599081
1,14,41,2,12.2887045
1,14,42,2,12.3394367
1,14,43,2,10.1117846
1,14,44,2,8.9695416
1,14,45,2,9.6825732
1,14,46,2,9.7022079
1,14,47,2,9.6068213
1,14,48,2,10.0157175
1,14,49,2,10.1470921
1,14,5,2,2.2401035
1,14,50,2,10.1548261
1,14,51,2,10.5722323
1,14,52,2,10.8832376
1,14,53,2,10.8385828
1,14,54,2,11.0179979
1,14,55,2,11.1901691
1,14,56,2,11.461642
1,14,57,2,11.6057554
1,14,58,2,11.6891086
1,14,59,2,11.9797351
1,14,6,2,2.5757569
1,14,60,2,12.286402
1,14,61,2,23.1212517
1,14,62,2,16.1849514
1,14,63,2,13.9390189
1,14,64,2,14.2436597
1,14,65,2,13.8611821
1,14,66,2,13.8171263
1,14,67,2,13.8714824
1,14,68,2,14.2933038
1,14,69,2,14.2809109
1,14,7,2,2.3704865
1,14,70,2,14.4494522
1,14,71,2,21.1663286
1,14,72,2,17.2206485
1,14,73,2,14.7884633
1,14,74,2,15.4475785
1,14,75,2,15.4231033
1,14,76,2,15.783497
1,14,77,2,15.9163216
1,14,78,2,16.2932437
1,14,79,2,16.0478788
1,14,8,2,2.6968394
1,14,80,2,16.3681445
1,14,9,2,2.4737834
14,14,10,2,43.6308498
14,14,11,2,49.0310035
14,14,12,2,57.4774122
14,14,13,2,61.4707202
14,14,14,2,66.7106857
14,14,15,2,77.4414388
14,14,16,2,85.381931
14,14,17,2,94.9248671
14,14,18,2,1963.8615249
14,14,19,2,2775.2943127
14,14,2,2,10.0257337
