resolution,people,tries,time
9x12,35,2,5.511568
9x12,36,2,5.662678
9x12,37,2,5.972069
9x12,38,2,6.127002
9x12,39,2,6.206019
9x12,4,2,0.633764
9x12,40,2,6.381047
9x12,5,2,0.765742
9x12,6,2,0.919698
9x12,7,2,1.137617
9x12,8,2,1.216496
9x12,9,2,1.362859
